"filename", "language", "TypeScript", "XML", "JSON", "JSON with Comments", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\home\components\FeedSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 2, 74
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\home\components\TopArticlesList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 2, 50
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\home\components\TopArticlesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 27
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\home\components\WelcomeSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 2, 56
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\home\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 2, 145
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\Analysis.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\Edit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\Feed.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 3, 108
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\components\BlockButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 3, 75
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\components\FeedOptions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 1, 71
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\components\FeedSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 3, 122
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\components\FollowList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 2, 63
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\components\ProfileHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 2, 142
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\components\SideBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 230, 0, 0, 0, 0, 1, 231
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\components\UserBreadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 2, 19
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 2, 62
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\pages\Blocked.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 1, 1, 81
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\pages\Followers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 2, 69
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\pages\user\profile\pages\Following.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 2, 74
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\api\article.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\api\auth.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\api\follow.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\api\topic.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\api\user.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\axiosInstance.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 14
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\keys.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 20
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\queries\article.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 79
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\queries\auth.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\queries\follow.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 92
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\queries\topic.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\Users\ASUS\Desktop\Development\projects\blog cms\app\client\src\services\queries\user.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75
